

id	name	type	num.parents	parents	offsets	p.value	chisq	df
1	disease	i	1	1070,	0,	7.88884e-81	368.888	2
2	sex	i	0			1.01	0	0
3	chr11_7999	i	0			1.01	0	0
4	chr11_8000	i	0			1.01	0	0
5	chr11_8001	i	0			1.01	0	0
6	chr11_8002	i	0			1.01	0	0
7	chr11_8003	i	0			1.01	0	0
8	chr11_8004	i	0			1.01	0	0
9	chr11_8005	i	0			1.01	0	0
10	chr11_8006	i	0			1.01	0	0
11	chr11_8007	i	0			1.01	0	0
12	chr11_8008	i	0			1.01	0	0
13	chr11_8009	i	0			1.01	0	0
14	chr11_8010	i	0			1.01	0	0
15	chr11_8011	i	0			1.01	0	0
16	chr11_8012	i	0			1.01	0	0
17	chr11_8013	i	0			1.01	0	0
18	chr11_8014	i	0			1.01	0	0
19	chr11_8015	i	0			1.01	0	0
20	chr11_8016	i	0			1.01	0	0
21	chr11_8017	i	0			1.01	0	0
22	chr11_8018	i	0			1.01	0	0
23	chr11_8019	i	0			1.01	0	0
24	chr11_8020	i	0			1.01	0	0
25	chr11_8021	i	0			1.01	0	0
26	chr11_8022	i	0			1.01	0	0
27	chr11_8023	i	0			1.01	0	0
28	chr11_8024	i	0			1.01	0	0
29	chr11_8025	i	0			1.01	0	0
30	chr11_8026	i	0			1.01	0	0
31	chr11_8027	i	0			1.01	0	0
32	chr11_8028	i	0			1.01	0	0
33	chr11_8029	i	0			1.01	0	0
34	chr11_8030	i	0			1.01	0	0
35	chr11_8031	i	0			1.01	0	0
36	chr11_8032	i	0			1.01	0	0
37	chr11_8033	i	0			1.01	0	0
38	chr11_8034	i	0			1.01	0	0
39	chr11_8035	i	0			1.01	0	0
40	chr11_8036	i	0			1.01	0	0
41	chr11_8037	i	0			1.01	0	0
42	chr11_8038	i	0			1.01	0	0
43	chr11_8039	i	0			1.01	0	0
44	chr11_8040	i	0			1.01	0	0
45	chr11_8041	i	0			1.01	0	0
46	chr11_8042	i	0			1.01	0	0
47	chr11_8043	i	0			1.01	0	0
48	chr11_8044	i	0			1.01	0	0
49	chr11_8045	i	0			1.01	0	0
50	chr11_8046	i	0			1.01	0	0
51	chr11_8047	i	0			1.01	0	0
52	chr11_8048	i	0			1.01	0	0
53	chr11_8049	i	0			1.01	0	0
54	chr11_8050	i	0			1.01	0	0
55	chr11_8051	i	0			1.01	0	0
56	chr11_8052	i	0			1.01	0	0
57	chr11_8053	i	0			1.01	0	0
58	chr11_8054	i	0			1.01	0	0
59	chr11_8055	i	0			1.01	0	0
60	chr11_8056	i	0			1.01	0	0
61	chr11_8057	i	0			1.01	0	0
62	chr11_8058	i	0			1.01	0	0
63	chr11_8059	i	0			1.01	0	0
64	chr11_8060	i	0			1.01	0	0
65	chr11_8061	i	0			1.01	0	0
66	chr11_8062	i	0			1.01	0	0
67	chr11_8063	i	0			1.01	0	0
68	chr11_8064	i	0			1.01	0	0
69	chr11_8065	i	0			1.01	0	0
70	chr11_8066	i	0			1.01	0	0
71	chr11_8067	i	0			1.01	0	0
72	chr11_8068	i	0			1.01	0	0
73	chr11_8069	i	0			1.01	0	0
74	chr11_8070	i	0			1.01	0	0
75	chr11_8071	i	0			1.01	0	0
76	chr11_8072	i	0			1.01	0	0
77	chr11_8073	i	0			1.01	0	0
78	chr11_8074	i	0			1.01	0	0
79	chr11_8075	i	0			1.01	0	0
80	chr11_8076	i	0			1.01	0	0
81	chr11_8077	i	0			1.01	0	0
82	chr11_8078	i	0			1.01	0	0
83	chr11_8079	i	0			1.01	0	0
84	chr11_8080	i	0			1.01	0	0
85	chr11_8081	i	0			1.01	0	0
86	chr11_8082	i	0			1.01	0	0
87	chr11_8083	i	0			1.01	0	0
88	chr11_8084	i	0			1.01	0	0
89	chr11_8085	i	0			1.01	0	0
90	chr11_8086	i	0			1.01	0	0
91	chr11_8087	i	0			1.01	0	0
92	chr11_8088	i	0			1.01	0	0
93	chr11_8089	i	0			1.01	0	0
94	chr11_8090	i	0			1.01	0	0
95	chr11_8091	i	0			1.01	0	0
96	chr11_8092	i	0			1.01	0	0
97	chr11_8093	i	0			1.01	0	0
98	chr11_8094	i	0			1.01	0	0
99	chr11_8095	i	0			1.01	0	0
100	chr11_8096	i	0			1.01	0	0
101	chr11_8097	i	0			1.01	0	0
102	chr11_8098	i	0			1.01	0	0
103	chr11_8099	i	0			1.01	0	0
104	chr11_8100	i	0			1.01	0	0
105	chr11_8101	i	0			1.01	0	0
106	chr11_8102	i	0			1.01	0	0
107	chr11_8103	i	0			1.01	0	0
108	chr11_8104	i	0			1.01	0	0
109	chr11_8105	i	0			1.01	0	0
110	chr11_8106	i	0			1.01	0	0
111	chr11_8107	i	0			1.01	0	0
112	chr11_8108	i	0			1.01	0	0
113	chr11_8109	i	0			1.01	0	0
114	chr11_8110	i	0			1.01	0	0
115	chr11_8111	i	0			1.01	0	0
116	chr11_8112	i	0			1.01	0	0
117	chr11_8113	i	0			1.01	0	0
118	chr11_8114	i	0			1.01	0	0
119	chr11_8115	i	0			1.01	0	0
120	chr11_8116	i	0			1.01	0	0
121	chr11_8117	i	0			1.01	0	0
122	chr11_8118	i	0			1.01	0	0
123	chr11_8119	i	0			1.01	0	0
124	chr11_8120	i	0			1.01	0	0
125	chr11_8121	i	0			1.01	0	0
126	chr11_8122	i	0			1.01	0	0
127	chr11_8123	i	0			1.01	0	0
128	chr11_8124	i	0			1.01	0	0
129	chr11_8125	i	0			1.01	0	0
130	chr11_8126	i	0			1.01	0	0
131	chr11_8127	i	0			1.01	0	0
132	chr11_8128	i	0			1.01	0	0
133	chr11_8129	i	0			1.01	0	0
134	chr11_8130	i	0			1.01	0	0
135	chr11_8131	i	0			1.01	0	0
136	chr11_8132	i	0			1.01	0	0
137	chr11_8133	i	0			1.01	0	0
138	chr11_8134	i	0			1.01	0	0
139	chr11_8135	i	0			1.01	0	0
140	chr11_8136	i	0			1.01	0	0
141	chr11_8137	i	0			1.01	0	0
142	chr11_8138	i	0			1.01	0	0
143	chr11_8139	i	0			1.01	0	0
144	chr11_8140	i	0			1.01	0	0
145	chr11_8141	i	0			1.01	0	0
146	chr11_8142	i	0			1.01	0	0
147	chr11_8143	i	0			1.01	0	0
148	chr11_8144	i	0			1.01	0	0
149	chr11_8145	i	0			1.01	0	0
150	chr11_8146	i	0			1.01	0	0
151	chr11_8147	i	0			1.01	0	0
152	chr11_8148	i	0			1.01	0	0
153	chr11_8149	i	0			1.01	0	0
154	chr11_8150	i	0			1.01	0	0
155	chr11_8151	i	0			1.01	0	0
156	chr11_8152	i	0			1.01	0	0
157	chr11_8153	i	0			1.01	0	0
