

id	name	type	num.parents	parents	offsets	p.value	chisq	df
1	disease	i	1	2606,	0,	4.8082e-05	16.5223	1
2	sex	i	0			1.01	0	0
3	chr2_9999A	i	0			1.01	0	0
4	chr2_9999B	i	0			1.01	0	0
5	chr2_10000A	i	0			1.01	0	0
6	chr2_10000B	i	0			1.01	0	0
7	chr2_10001A	i	0			1.01	0	0
8	chr2_10001B	i	0			1.01	0	0
9	chr2_10002A	i	0			1.01	0	0
10	chr2_10002B	i	0			1.01	0	0
11	chr2_10003A	i	0			1.01	0	0
12	chr2_10003B	i	0			1.01	0	0
13	chr2_10004A	i	0			1.01	0	0
14	chr2_10004B	i	0			1.01	0	0
15	chr2_10005A	i	0			1.01	0	0
16	chr2_10005B	i	0			1.01	0	0
17	chr2_10006A	i	0			1.01	0	0
18	chr2_10006B	i	0			1.01	0	0
19	chr2_10007A	i	0			1.01	0	0
20	chr2_10007B	i	0			1.01	0	0
21	chr2_10008A	i	0			1.01	0	0
22	chr2_10008B	i	0			1.01	0	0
23	chr2_10009A	i	0			1.01	0	0
24	chr2_10009B	i	0			1.01	0	0
25	chr2_10010A	i	0			1.01	0	0
26	chr2_10010B	i	0			1.01	0	0
27	chr2_10011A	i	0			1.01	0	0
28	chr2_10011B	i	0			1.01	0	0
29	chr2_10012A	i	0			1.01	0	0
30	chr2_10012B	i	0			1.01	0	0
31	chr2_10013A	i	0			1.01	0	0
32	chr2_10013B	i	0			1.01	0	0
33	chr2_10014A	i	0			1.01	0	0
34	chr2_10014B	i	0			1.01	0	0
35	chr2_10015A	i	0			1.01	0	0
36	chr2_10015B	i	0			1.01	0	0
37	chr2_10016A	i	0			1.01	0	0
38	chr2_10016B	i	0			1.01	0	0
39	chr2_10017A	i	0			1.01	0	0
40	chr2_10017B	i	0			1.01	0	0
41	chr2_10018A	i	0			1.01	0	0
42	chr2_10018B	i	0			1.01	0	0
43	chr2_10019A	i	0			1.01	0	0
44	chr2_10019B	i	0			1.01	0	0
45	chr2_10020A	i	0			1.01	0	0
46	chr2_10020B	i	0			1.01	0	0
47	chr2_10021A	i	0			1.01	0	0
48	chr2_10021B	i	0			1.01	0	0
49	chr2_10022A	i	0			1.01	0	0
50	chr2_10022B	i	0			1.01	0	0
51	chr2_10023A	i	0			1.01	0	0
52	chr2_10023B	i	0			1.01	0	0
53	chr2_10024A	i	0			1.01	0	0
54	chr2_10024B	i	0			1.01	0	0
55	chr2_10025A	i	0			1.01	0	0
56	chr2_10025B	i	0			1.01	0	0
57	chr2_10026A	i	0			1.01	0	0
58	chr2_10026B	i	0			1.01	0	0
59	chr2_10027A	i	0			1.01	0	0
60	chr2_10027B	i	0			1.01	0	0
61	chr2_10028A	i	0			1.01	0	0
62	chr2_10028B	i	0			1.01	0	0
63	chr2_10029A	i	0			1.01	0	0
64	chr2_10029B	i	0			1.01	0	0
65	chr2_10030A	i	0			1.01	0	0
66	chr2_10030B	i	0			1.01	0	0
67	chr2_10031A	i	0			1.01	0	0
68	chr2_10031B	i	0			1.01	0	0
69	chr2_10032A	i	0			1.01	0	0
70	chr2_10032B	i	0			1.01	0	0
71	chr2_10033A	i	0			1.01	0	0
72	chr2_10033B	i	0			1.01	0	0
73	chr2_10034A	i	0			1.01	0	0
74	chr2_10034B	i	0			1.01	0	0
75	chr2_10035A	i	0			1.01	0	0
76	chr2_10035B	i	0			1.01	0	0
77	chr2_10036A	i	0			1.01	0	0
78	chr2_10036B	i	0			1.01	0	0
79	chr2_10037A	i	0			1.01	0	0
80	chr2_10037B	i	0			1.01	0	0
81	chr2_10038A	i	0			1.01	0	0
82	chr2_10038B	i	0			1.01	0	0
83	chr2_10039A	i	0			1.01	0	0
84	chr2_10039B	i	0			1.01	0	0
85	chr2_10040A	i	0			1.01	0	0
86	chr2_10040B	i	0			1.01	0	0
87	chr2_10041A	i	0			1.01	0	0
88	chr2_10041B	i	0			1.01	0	0
89	chr2_10042A	i	0			1.01	0	0
90	chr2_10042B	i	0			1.01	0	0
91	chr2_10043A	i	0			1.01	0	0
92	chr2_10043B	i	0			1.01	0	0
93	chr2_10044A	i	0			1.01	0	0
94	chr2_10044B	i	0			1.01	0	0
95	chr2_10045A	i	0			1.01	0	0
96	chr2_10045B	i	0			1.01	0	0
97	chr2_10046A	i	0			1.01	0	0
98	chr2_10046B	i	0			1.01	0	0
99	chr2_10047A	i	0			1.01	0	0
100	chr2_10047B	i	0			1.01	0	0
101	chr2_10048A	i	0			1.01	0	0
102	chr2_10048B	i	0			1.01	0	0
103	chr2_10049A	i	0			1.01	0	0
104	chr2_10049B	i	0			1.01	0	0
105	chr2_10050A	i	0			1.01	0	0
106	chr2_10050B	i	0			1.01	0	0
107	chr2_10051A	i	0			1.01	0	0
108	chr2_10051B	i	0			1.01	0	0
109	chr2_10052A	i	0			1.01	0	0
110	chr2_10052B	i	0			1.01	0	0
111	chr2_10053A	i	0			1.01	0	0
112	chr2_10053B	i	0			1.01	0	0
113	chr2_10054A	i	0			1.01	0	0
114	chr2_10054B	i	0			1.01	0	0
115	chr2_10055A	i	0			1.01	0	0
116	chr2_10055B	i	0			1.01	0	0
117	chr2_10056A	i	0			1.01	0	0
118	chr2_10056B	i	0			1.01	0	0
119	chr2_10057A	i	0			1.01	0	0
120	chr2_10057B	i	0			1.01	0	0
121	chr2_10058A	i	0			1.01	0	0
122	chr2_10058B	i	0			1.01	0	0
123	chr2_10059A	i	0			1.01	0	0
124	chr2_10059B	i	0			1.01	0	0
125	chr2_10060A	i	0			1.01	0	0
126	chr2_10060B	i	0			1.01	0	0
127	chr2_10061A	i	0			1.01	0	0
128	chr2_10061B	i	0			1.01	0	0
129	chr2_10062A	i	0			1.01	0	0
130	chr2_10062B	i	0			1.01	0	0
131	chr2_10063A	i	0			1.01	0	0
132	chr2_10063B	i	0			1.01	0	0
133	chr2_10064A	i	0			1.01	0	0
134	chr2_10064B	i	0			1.01	0	0
135	chr2_10065A	i	0			1.01	0	0
136	chr2_10065B	i	0			1.01	0	0
137	chr2_10066A	i	0			1.01	0	0
138	chr2_10066B	i	0			1.01	0	0
139	chr2_10067A	i	0			1.01	0	0
